Source Server,Batch GUID,ROOTGUID,OrderId,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,sp_prot,SetPoint Float,Actual Value Float,FormulaCategoryName,POBJID,EventID
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Soya Oil,210,100.0,37.35,37.75,Production Recipes,10,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,TermiN-8,33,100.0,6.75,0.0,Production Recipes,6,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,BETAIN HCL,142,100.0,2.25,2.609954,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,BIOSTRONG 510,140,100.0,0.675,0.7306136,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Broiler Mineral Mix,31,100.0,4.05,5.208333,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Broiler Starter PX,69,100.0,4.05,5.3125,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Choline Chloride 60%,26,100.0,2.7,3.055555,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,KENZYME PRO,77,100.0,2.7,3.081597,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,Limestone,113,100.0,55.485,15.94336,Production Recipes,1,
Server2,2E066F9A-4534-4527-96A5-6A8E25DD7E15,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-22 06:04:32.637,2026-07-22 07:49:34.937,2026-07-22 07:50:39.193,4500.0,LYSOFORTE DRY,30,100.0,0.9,1.019965,Production Recipes,1,
