Source Server,Batch GUID,ROOTGUID,OrderId,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,sp_prot,SetPoint Float,Actual Value Float,FormulaCategoryName
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,HERBIN,149,100,3.2,-0.5902779,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Methionine,12,100,29.6,15.0463,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,SOLIS,124,1,12,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Maize,100,100,4907.2,2665.7989,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Soya Oil,210,100,84,42.25,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,ROVABIO PhyPlus,75,100,0.8,0.729167,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,HY-Bond,111,100,8,3.2986107,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,SOYA-,105,100,2712,1443.8652952,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,LYSOFORTE DRY,30,100,1.6,0.5107062,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Rovabio Advance,74,100,0.4,1.059028,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,BETAIN HCL,142,1,2.4,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Broiler Mineral Mix,31,1,7.2,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,KENZYME PRO,77,1,2.4,0,Production Recipes
